SP-01,漏电保护开关,通过监测异常电流，在漏电≥30mA时在0.1秒内切断电源
SP-02,保险丝盒及配件,通过在过载时熔断保险丝保护电路
SP-03,AOC网络摄像机,网络监控，清晰度1020p（标称4K）
